BSQ,CIRCONSCRIPTION,REGION1,REGION2,REGION3
648,Abitibi-Est,8,,
642,Abitibi-Ouest,8,,
338,Acadie,6,,
366,Anjou-Louis-Riel,6,,
520,Argenteuil,15,,
144,Arthabaska,17,,
806,Beauce-Nord,12,,
802,Beauce-Sud,12,5,
218,Beauharnois,16,,
822,Bellechasse,12,,
566,Berthier,14,,
588,Bertrand,14,15,
536,Blainville,15,,
850,Bonaventure,11,,
258,Borduas,16,,
360,Bourassa-Sauvé,6,,
370,Camille-Laurin,6,,
204,Brome-Missisquoi,5,,
238,Chambly,16,,
676,Champlain,4,,
620,Chapleau,7,,
748,Charlesbourg,3,,
760,Charlevoix-Côte-de-Beaupré,3,,
226,Châteauguay,16,,
754,Chauveau,3,,
918,Chicoutimi,2,,
460,Chomedey,13,,
814,Chutes-de-la-Chaudière,12,,
826,Côte-du-Sud,1,12,
320,D'Arcy-McGee,6,,
508,Deux-Montagnes,15,,
138,Drummond-Bois-Francs,17,,
914,Dubuc,2,,
902,Duplessis,9,10,
466,Fabre,13,,
854,Gaspé,11,,
614,Gatineau,7,,
346,Gouin,6,,
206,Granby,5,,
502,Groulx,15,,
352,Hochelaga-Maisonneuve,6,,
602,Hull,7,,
216,Huntingdon,16,,
210,Iberville,16,,
858,Îles-de-la-Madeleine,11,,
310,Jacques-Cartier,6,,
736,Jean-Lesage,3,,
364,Jeanne-Mance-Viger,6,,
702,Jean-Talon,3,,
126,Johnson,17,16,5
570,Joliette,14,,
922,Jonquière,2,,
594,Labelle,15,,
926,Lac-Saint-Jean,2,,
390,LaFontaine,6,,
720,La Peltrie,3,,
236,La Pinière,16,,
244,Laporte,16,,
232,La Prairie,16,,
554,L'Assomption,14,,
344,Laurier-Dorion,6,,
454,Laval-des-Rapides,13,,
670,Laviolette-Saint-Maurice,4,,
530,Les Plaines,14,15,
818,Lévis,12,,
810,Lotbinière-Frontenac,12,,
708,Louis-Hébert,3,,
304,Marguerite-Bourgeoys,6,,
246,Marie-Victorin,16,,
306,Marquette,6,,
666,Maskinongé,4,,
548,Masson,14,,
842,Matane-Matapédia,1,,
340,Maurice-Richard,6,,
104,Mégantic,12,5,
350,Mercier,6,,
482,Mille-Îles,13,,
514,Mirabel,15,,
252,Montarville,16,,
742,Montmorency,3,,
336,Mont-Royal-Outremont,6,,
312,Nelligan,6,,
150,Nicolet-Bécancour,17,,
324,Notre-Dame-de-Grâce,6,,
120,Orford,5,,
626,Papineau,7,,
380,Pointe-aux-Trembles,6,,
608,Pontiac,7,,
714,Portneuf,3,,
582,Prévost,15,,
906,René-Lévesque,9,,
560,Repentigny,14,,
264,Richelieu,16,,
132,Richmond,5,,
838,Rimouski,1,,
834,Rivière-du-Loup-Témiscouata,1,,
316,Robert-Baldwin,6,,
930,Roberval,2,,
356,Rosemont,6,,
576,Rousseau,14,,
636,Rouyn-Noranda-Témiscamingue,8,,
110,Saint-François,5,,
326,Saint-Henri-Sainte-Anne,6,,
260,Saint-Hyacinthe,16,,
212,Saint-Jean,16,,
526,Saint-Jérôme,15,,
318,Saint-Laurent,6,,
330,Sainte-Marie-Saint-Jacques,6,,
470,Sainte-Rose,13,,
230,Sanguinet,16,,
116,Sherbrooke,5,,
220,Soulanges,16,,
250,Taillon,16,,
730,Taschereau,3,,
542,Terrebonne,14,,
660,Trois-Rivières,4,,
938,Ungava,10,,
240,Vachon,16,,
726,Vanier-Les Rivières,3,,
224,Vaudreuil,16,,
256,Verchères,16,,
300,Verdun,6,,
358,Viau,6,,
476,Vimont,13,,
332,Westmount-Saint-Louis,6,,
